id,city,method,nClust,rep,cost
0,Mumbai,IteratedWatershed,15,4,28293.93414972537
1,Mumbai,KMeans,15,4,36726.77103895371
2,Mumbai,KCenters,15,4,71323.67684245645
0,Mumbai,IteratedWatershed,15,5,29849.842323846577
1,Mumbai,KMeans,15,5,48310.60533297467
2,Mumbai,KCenters,15,5,62953.07582623623
0,Mumbai,IteratedWatershed,15,6,28245.921978944894
1,Mumbai,KMeans,15,6,43918.856542295776
2,Mumbai,KCenters,15,6,71932.18961358635
0,Mumbai,IteratedWatershed,15,7,29478.80927274366
1,Mumbai,KMeans,15,7,47907.89166865479
2,Mumbai,KCenters,15,7,63770.22353947144
0,Mumbai,IteratedWatershed,15,8,28630.72829368231
1,Mumbai,KMeans,15,8,48310.60533297467
2,Mumbai,KCenters,15,8,62592.123330664166
0,Mumbai,IteratedWatershed,15,9,28216.400815878987
1,Mumbai,KMeans,15,9,36726.77103895371
2,Mumbai,KCenters,15,9,68296.58872340497
0,Mumbai,IteratedWatershed,15,10,29696.34572393173
1,Mumbai,KMeans,15,10,41984.56555797455
2,Mumbai,KCenters,15,10,58466.34762868942
0,Mumbai,IteratedWatershed,15,11,29191.205273280084
1,Mumbai,KMeans,15,11,36726.77103895371
2,Mumbai,KCenters,15,11,60642.19217886595
0,Mumbai,IteratedWatershed,15,12,28107.244592145085
1,Mumbai,KMeans,15,12,32497.05403077678
2,Mumbai,KCenters,15,12,64568.05845173651
0,Mumbai,IteratedWatershed,15,13,29543.46559128486
1,Mumbai,KMeans,15,13,32472.590956036158
2,Mumbai,KCenters,15,13,59314.45716125611
0,Mumbai,IteratedWatershed,15,14,28117.104536186158
1,Mumbai,KMeans,15,14,34274.21892847538
2,Mumbai,KCenters,15,14,58229.782170351726
0,Mumbai,IteratedWatershed,15,15,28229.926730722473
1,Mumbai,KMeans,15,15,33652.61636508764
2,Mumbai,KCenters,15,15,70126.15738360942
0,Mumbai,IteratedWatershed,15,16,29521.46656872721
1,Mumbai,KMeans,15,16,36726.77103895371
2,Mumbai,KCenters,15,16,70760.80116351662
0,Mumbai,IteratedWatershed,15,17,29198.938889769724
1,Mumbai,KMeans,15,17,43383.22451756791
2,Mumbai,KCenters,15,17,60428.17436260749
0,Mumbai,IteratedWatershed,15,18,29228.76762270376
1,Mumbai,KMeans,15,18,32336.655250989803
2,Mumbai,KCenters,15,18,62869.76533085383
0,Mumbai,IteratedWatershed,15,19,29681.502315400554
1,Mumbai,KMeans,15,19,44476.22358733853
2,Mumbai,KCenters,15,19,69599.68279944579
0,Hyderabad,IteratedWatershed,3,0,71570.74601402387
1,Hyderabad,KMeans,3,0,109640.46261531442
2,Hyderabad,KCenters,3,0,139634.13123010163
0,Hyderabad,IteratedWatershed,3,1,68570.63091502151
1,Hyderabad,KMeans,3,1,98416.23194771117
2,Hyderabad,KCenters,3,1,146666.5084360879
0,Hyderabad,IteratedWatershed,3,2,70484.2736627447
1,Hyderabad,KMeans,3,2,98073.56502842609
2,Hyderabad,KCenters,3,2,113196.0496515043
0,Hyderabad,IteratedWatershed,3,3,69295.86179637189
1,Hyderabad,KMeans,3,3,94355.55565250017
2,Hyderabad,KCenters,3,3,160161.47430096153
0,Hyderabad,IteratedWatershed,3,4,69242.84279284123
1,Hyderabad,KMeans,3,4,98416.23194771117
2,Hyderabad,KCenters,3,4,131166.38397848656
0,Hyderabad,IteratedWatershed,3,5,68672.24789718936
1,Hyderabad,KMeans,3,5,98416.23194771117
2,Hyderabad,KCenters,3,5,134079.75934751594
0,Hyderabad,IteratedWatershed,3,6,68642.95821619067
1,Hyderabad,KMeans,3,6,98416.23194771117
2,Hyderabad,KCenters,3,6,134355.068166433
0,Hyderabad,IteratedWatershed,3,7,69595.15243671183
1,Hyderabad,KMeans,3,7,98416.23194771117
2,Hyderabad,KCenters,3,7,196728.33655043753
0,Hyderabad,IteratedWatershed,3,8,70881.39834973277
1,Hyderabad,KMeans,3,8,96111.17151475287
2,Hyderabad,KCenters,3,8,131652.53956778388
0,Hyderabad,IteratedWatershed,3,9,70449.10515429688
1,Hyderabad,KMeans,3,9,96111.17151475287
2,Hyderabad,KCenters,3,9,135923.65258859764
0,Hyderabad,IteratedWatershed,3,10,74034.09858341124
1,Hyderabad,KMeans,3,10,98416.23194771117
2,Hyderabad,KCenters,3,10,154653.9398680288
0,Hyderabad,IteratedWatershed,3,11,71208.47312174011
1,Hyderabad,KMeans,3,11,98416.23194771117
2,Hyderabad,KCenters,3,11,107685.9413197078
0,Hyderabad,IteratedWatershed,3,12,70905.4229648247
1,Hyderabad,KMeans,3,12,98416.23194771117
2,Hyderabad,KCenters,3,12,161427.5957812827
0,Hyderabad,IteratedWatershed,3,13,70128.14434615194
1,Hyderabad,KMeans,3,13,98416.23194771117
2,Hyderabad,KCenters,3,13,136422.76212540967
0,Hyderabad,IteratedWatershed,3,14,69596.31585843641
1,Hyderabad,KMeans,3,14,98416.23194771117
2,Hyderabad,KCenters,3,14,208497.75926949657
0,Hyderabad,IteratedWatershed,3,15,75250.62818385326
1,Hyderabad,KMeans,3,15,94355.55565250017
2,Hyderabad,KCenters,3,15,143730.83984566576
0,Hyderabad,IteratedWatershed,3,16,72416.19363766331
1,Hyderabad,KMeans,3,16,98416.23194771117
2,Hyderabad,KCenters,3,16,177488.9847232747
0,Hyderabad,IteratedWatershed,3,17,69404.87393958884
1,Hyderabad,KMeans,3,17,98416.23194771117
2,Hyderabad,KCenters,3,17,173432.05243975233
0,Hyderabad,IteratedWatershed,3,18,69330.04999718336
1,Hyderabad,KMeans,3,18,98073.56502842609
2,Hyderabad,KCenters,3,18,148084.4217643592
0,Hyderabad,IteratedWatershed,3,19,68769.36923323675
1,Hyderabad,KMeans,3,19,98073.56502842609
2,Hyderabad,KCenters,3,19,168248.72723490742
0,Hyderabad,IteratedWatershed,6,0,56962.08053146113
1,Hyderabad,KMeans,6,0,62337.99298359345
2,Hyderabad,KCenters,6,0,119257.77201519754
0,Hyderabad,IteratedWatershed,6,1,53841.20008378383
1,Hyderabad,KMeans,6,1,65254.77451336724
2,Hyderabad,KCenters,6,1,145541.65250784424
0,Hyderabad,IteratedWatershed,6,2,55200.10728326023
1,Hyderabad,KMeans,6,2,62337.99298359345
2,Hyderabad,KCenters,6,2,137960.08725752935
0,Hyderabad,IteratedWatershed,6,3,57853.716526980315
1,Hyderabad,KMeans,6,3,65254.77451336724
2,Hyderabad,KCenters,6,3,137431.95775639804
0,Hyderabad,IteratedWatershed,6,4,55895.54356014626
1,Hyderabad,KMeans,6,4,62337.99298359345
2,Hyderabad,KCenters,6,4,183382.21304828813
0,Hyderabad,IteratedWatershed,6,5,56347.13538219416
1,Hyderabad,KMeans,6,5,62337.99298359345
2,Hyderabad,KCenters,6,5,168805.5715785954
0,Hyderabad,IteratedWatershed,6,6,55322.13185309679
1,Hyderabad,KMeans,6,6,62337.99298359345
2,Hyderabad,KCenters,6,6,162181.90177499538
0,Hyderabad,IteratedWatershed,6,7,58465.651881471174
1,Hyderabad,KMeans,6,7,62337.99298359345
2,Hyderabad,KCenters,6,7,139495.150198551
0,Hyderabad,IteratedWatershed,6,8,54006.97840316298
1,Hyderabad,KMeans,6,8,62337.99298359345
2,Hyderabad,KCenters,6,8,136800.45989255118
0,Hyderabad,IteratedWatershed,6,9,56179.80667049275
1,Hyderabad,KMeans,6,9,62337.99298359345
2,Hyderabad,KCenters,6,9,153054.2563330792
0,Hyderabad,IteratedWatershed,6,10,55223.821458497114
1,Hyderabad,KMeans,6,10,62337.99298359345
2,Hyderabad,KCenters,6,10,127649.41307570935
0,Hyderabad,IteratedWatershed,6,11,56822.09275348415
1,Hyderabad,KMeans,6,11,65254.77451336724
